backend;bi;big_data;c_skills;cloud_skills;css_skills;data_skills;deep_learning;embarque_skills;frontend;git_skills;java_skills;machine_learning;math_skills;matlab_skills;mobile_skills;multimedia_skills;networking;nosql_skills;other_skills;php_skills;po_skills;python;r_skills;robo_skills;scrum_skills;sql_skills;sys_skills;teck_skills;virtualisation;web_scraping;bac;eng;licence;master;other;phd;prep
0.0;0.0;0.0;0.0;0.0;0.0;0.34337309085635737;0.0;0.0;0.42247377716995393;0.0;0.0;0.4807084535497033;0.0;0.0;0.0;0.0;0.0;0.0;0.30169969268758445;0.0;0.0;0.2393275611708984;0.0;0.0;0.5694118234297243;0.0;0.0;0.0;0.0;0.0;0;0;1;1;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4416131020473593;0.6342553490563382;0.0;0.0;0.0;0.0;0.1753188387934703;0.0;0.0;0.278148311932184;0.542765917893632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;1;0;0;0
0.0;0.43940638149031475;0.0;0.0;0.0;0.0;0.6294666000638387;0.3086273350829675;0.0;0.0;0.0;0.0;0.4406139035578349;0.3482849226434756;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5422051614051997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25826884788080084;0.0;0.0;0.0;0.7995691121847348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;1
0.0;0.0;0.4102431893582536;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7445879119678641;0.0;0.5265827256343532;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0;0;1;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9028114474003653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4300366152350953;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;1;0;0
0.0;0.0;0.417985399528791;0.0;0.0;0.0;0.43171496934777004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7993187042862258;0.0;0.0;0.0;0.0;0.0;0.0;1;1;0;0;0;0;0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9028114474003653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4300366152350953;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;0;0;0;0;0
0.0;0.0;0.0;0.4582641659314429;0.0;0.0;0.0;0.7518219407877605;0.0;0.0;0.0;0.3535603403804539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.168411568657428;0.0;0.0;0.2671897318866988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;1;0;0;0
0.0;0.0;0.1635796241539374;0.4039408635663951;0.0;0.0;0.16895272539937728;0.3313499358963667;0.0;0.20787329573385938;0.0;0.1558243910756431;0.2365269891918167;0.0;0.0;0.0;0.3029647831226999;0.0;0.0;0.22267172365457172;0.0;0.0;0.11775833575708058;0.0;0.3128153599952401;0.2801724480015401;0.0;0.4655219492985302;0.0;0.0;0.0;0;0;0;0;1;0;0
